Outer Key,Inner Key (Tuple),Value
2000,"(1, 4)","['AD', 5.425340065845964]"
2000,"(2, 0)","['AU', -7.221209006402296]"
2000,"(2, 4)","['AD', 8.026040855914971]"
2000,"(3, 0)","['AU', -8.098352343842576]"
2000,"(3, 1)","['AL', -10.328046025556558]"
2000,"(3, 3)","['AD', 6.291979717280841]"
2000,"(3, 4)","['AD', 8.935342157122546]"
2000,"(4, 0)","['AL', -10.27589087214004]"
2000,"(4, 1)","['AU', -10.10285490417349]"
2000,"(4, 2)","['AR', 7.584945734099022]"
2000,"(4, 3)","['AR', 8.96097112645633]"
2250,"(0, 0)","['AU', -6.710118054143827]"
2250,"(0, 1)","['AL', -7.199372216480232]"
2250,"(0, 2)","['AL', -7.4628532997737995]"
2250,"(0, 3)","['AD', -2.735615071413718]"
2250,"(0, 4)","['AD', 0.26533773114822246]"
2250,"(1, 0)","['AU', -6.959773983851754]"
2250,"(1, 1)","['AL', -7.143578554373969]"
2250,"(1, 2)","['AL', -7.334800252718054]"
2250,"(1, 3)","['AR', 0.24440526533117404]"
2250,"(1, 4)","['AD', 5.436157652922548]"
2250,"(2, 0)","['AU', -7.241566563571168]"
2250,"(2, 4)","['AD', 8.036403148381666]"
2250,"(3, 0)","['AU', -8.086688235652142]"
2250,"(3, 1)","['AL', -10.232634416790814]"
2250,"(3, 3)","['AD', 6.3743579882295585]"
2250,"(3, 4)","['AD', 8.940445929647233]"
2250,"(4, 0)","['AL', -10.236370521775047]"
2250,"(4, 1)","['AU', -9.986238305381056]"
2250,"(4, 2)","['AR', 7.7088845031945255]"
2250,"(4, 3)","['AR', 8.95991672166336]"
2500,"(0, 0)","['AL', -7.18916104933456]"
2500,"(0, 1)","['AL', -7.159061331119417]"
2500,"(0, 2)","['AL', -7.367832635859943]"
2500,"(0, 3)","['AD', -2.657025362744249]"
2500,"(0, 4)","['AD', 0.4685308166863003]"
2500,"(1, 0)","['AU', -6.971360066217419]"
2500,"(1, 1)","['AL', -7.1393836222691975]"
2500,"(1, 2)","['AL', -7.289448870222516]"
2500,"(1, 3)","['AR', 0.2529992627892584]"
2500,"(1, 4)","['AD', 5.4366081032744455]"
2500,"(2, 0)","['AU', -7.239431716578845]"
2500,"(2, 4)","['AD', 8.038163887218102]"
2500,"(3, 0)","['AU', -8.145345298109481]"
2500,"(3, 1)","['AL', -10.169279630679084]"
2500,"(3, 3)","['AD', 6.471548432384954]"
2500,"(3, 4)","['AD', 8.942958160040979]"
2500,"(4, 0)","['AL', -10.050833113357717]"
2500,"(4, 1)","['AU', -9.886968299763176]"
2500,"(4, 2)","['AR', 7.832991430659637]"
2500,"(4, 3)","['AR', 8.958609211832933]"
2750,"(0, 0)","['AD', -7.074055608359109]"
2750,"(0, 1)","['AL', -7.237691649826191]"
2750,"(0, 2)","['AL', -7.346826598313133]"
2750,"(0, 3)","['AD', -2.5241990334328284]"
2750,"(0, 4)","['AD', 0.6786839030435593]"
2750,"(1, 0)","['AU', -6.964367306992128]"
2750,"(1, 1)","['AL', -7.139611912631958]"
2750,"(1, 2)","['AL', -7.252540388041303]"
2750,"(1, 3)","['AR', 0.29239550801094255]"
2750,"(1, 4)","['AD', 5.4458644724858205]"
2750,"(2, 0)","['AU', -7.255415918169446]"
2750,"(2, 4)","['AD', 8.04353980170618]"
2750,"(3, 0)","['AU', -8.156949329363718]"
2750,"(3, 1)","['AL', -10.139246107216064]"
2750,"(3, 3)","['AD', 6.527289654729922]"
2750,"(3, 4)","['AD', 8.947865921559096]"
2750,"(4, 0)","['AL', -9.984180345400683]"
2750,"(4, 1)","['AU', -9.83801071621508]"
2750,"(4, 2)","['AR', 7.879697663854742]"
2750,"(4, 3)","['AR', 8.964544280802944]"
3000,"(0, 0)","['AL', -7.1339992399211045]"
3000,"(0, 1)","['AL', -7.2609690401576374]"
3000,"(0, 2)","['AL', -7.429041036162883]"
3000,"(0, 3)","['AD', -2.328891685586061]"
3000,"(0, 4)","['AD', 0.8751787263829599]"
3000,"(1, 0)","['AU', -6.974626146199734]"
3000,"(1, 1)","['AL', -7.138724525197391]"
3000,"(1, 2)","['AL', -7.267605056651828]"
3000,"(1, 3)","['AR', 0.3447439981794596]"
3000,"(1, 4)","['AD', 5.455885330593197]"
3000,"(2, 0)","['AU', -7.285618974403215]"
3000,"(2, 4)","['AD', 8.050456267982776]"
3000,"(3, 0)","['AU', -8.15924085777982]"
3000,"(3, 1)","['AL', -10.129568157775083]"
3000,"(3, 3)","['AD', 6.573987152061098]"
3000,"(3, 4)","['AD', 8.948434094857031]"
3000,"(4, 0)","['AL', -9.945705607451607]"
3000,"(4, 1)","['AU', -9.754666564681816]"
3000,"(4, 2)","['AR', 7.910342197405677]"
3000,"(4, 3)","['AR', 8.97013162322944]"
3250,"(0, 0)","['AD', -7.132605867579104]"
3250,"(0, 1)","['AL', -7.291868682089296]"
3250,"(0, 2)","['AL', -7.434224496545752]"
3250,"(0, 3)","['AD', -2.1754393569121317]"
3250,"(0, 4)","['AD', 1.0264859375884925]"
3250,"(1, 0)","['AU', -6.977304125302667]"
3250,"(1, 1)","['AL', -7.138007884443053]"
3250,"(1, 2)","['AL', -7.259475228190225]"
3250,"(1, 3)","['AR', 0.3963068095556103]"
3250,"(1, 4)","['AD', 5.472600158465408]"
3250,"(2, 0)","['AU', -7.26141377675939]"
3250,"(2, 4)","['AD', 8.06082550948412]"
3250,"(3, 0)","['AU', -8.131088378062614]"
3250,"(3, 1)","['AL', -10.120813097455077]"
3250,"(3, 3)","['AD', 6.646892839668532]"
3250,"(3, 4)","['AD', 8.952522124632562]"
3250,"(4, 0)","['AL', -10.114024024650583]"
3250,"(4, 1)","['AU', -9.729039675693654]"
3250,"(4, 2)","['AR', 7.9737618474622405]"
3250,"(4, 3)","['AR', 8.976803345326717]"
3500,"(0, 0)","['AD', -7.193201920236631]"
3500,"(0, 1)","['AL', -7.289405179103008]"
3500,"(0, 2)","['AL', -7.433596465995092]"
3500,"(0, 3)","['AD', -2.0598296879418867]"
3500,"(0, 4)","['AD', 1.216887114108368]"
3500,"(1, 0)","['AU', -6.997256294316843]"
3500,"(1, 1)","['AL', -7.1311497086487075]"
3500,"(1, 2)","['AL', -7.275423819714214]"
3500,"(1, 3)","['AR', 0.44163745794531867]"
3500,"(1, 4)","['AD', 5.483649675370848]"
3500,"(2, 0)","['AU', -7.231604812742534]"
3500,"(2, 4)","['AD', 8.068249328048402]"
3500,"(3, 0)","['AU', -8.055257928317724]"
3500,"(3, 1)","['AL', -10.112533974392116]"
3500,"(3, 3)","['AD', 6.734612747957789]"
