Outer Key,Inner Key (Tuple),Value
6250,"(1, 1)","['AD', -1.1858234296300427]"
6250,"(1, 2)","['AD', -1.202165329387759]"
6250,"(1, 3)","['AR', 0.9426051338864612]"
6250,"(1, 4)","['AD', 2.7191338892440395]"
6250,"(2, 0)","['AU', -0.7365641888366199]"
6250,"(2, 4)","['AD', 3.6375321819132864]"
6250,"(3, 0)","['AU', -0.8432485043350395]"
6250,"(3, 1)","['AL', -1.8739705135311124]"
6250,"(3, 3)","['AD', 7.8674483439005085]"
6250,"(3, 4)","['AL', 7.576888397896806]"
6250,"(4, 0)","['AL', -1.8879277316026803]"
6250,"(4, 1)","['AR', 1.8044028175071412]"
6250,"(4, 2)","['AR', 3.6190272144455373]"
6250,"(4, 3)","['AR', 9.16738895161096]"
6500,"(0, 0)","['AL', -0.4887043783171619]"
6500,"(0, 1)","['AL', -0.907440702955275]"
6500,"(0, 2)","['AD', -1.5822205835962504]"
6500,"(0, 3)","['AD', 0.1301133078630876]"
6500,"(0, 4)","['AD', 1.1543551502914322]"
6500,"(1, 0)","['AU', -0.9146154611590263]"
6500,"(1, 1)","['AR', -1.179649379217831]"
6500,"(1, 2)","['AD', -1.1896870671286215]"
6500,"(1, 3)","['AR', 0.9592483410981125]"
6500,"(1, 4)","['AD', 2.7351299075733384]"
6500,"(2, 0)","['AU', -0.7435719413499255]"
6500,"(2, 4)","['AD', 3.652809624607581]"
6500,"(3, 0)","['AL', -0.849757686539155]"
6500,"(3, 1)","['AL', -1.8706428746567543]"
6500,"(3, 3)","['AD', 7.87813448391265]"
6500,"(3, 4)","['AL', 7.584291700910188]"
6500,"(4, 0)","['AL', -1.8898890394620502]"
6500,"(4, 1)","['AR', 1.862050339165294]"
6500,"(4, 2)","['AR', 3.6585151723416165]"
6500,"(4, 3)","['AR', 9.169135399392331]"
6750,"(0, 0)","['AD', -0.4972535529673308]"
6750,"(0, 1)","['AL', -0.9124245589019446]"
6750,"(0, 2)","['AL', -1.589847921182403]"
6750,"(0, 3)","['AD', 0.17358799959246624]"
